ID,Curso,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q12.7,Q12.8,Q12.9,Q12.11,Q12.12,Q12.13,Q12.14,Q12.15,Q12.16,Q12.17,Q12.18,Q21.1,Q21.2,Q21.3,Q21.4,Q21.5,Q21.6,Q22.7,Q22.8,Q22.9,Q22.10,Q22.11,Q22.12,Q22.13,Q23.14,Q23.15,Q23.16,Q23.18,Q23.19,Q24.20,Q24.21,Q24.22,Q24.23,Q24.24,Q24.25,Q25.26,Q25.27,Q25.28,Q25.29,Q25.30,Q25.31,Q25.32,Q31.1,Q31.2,Q31.3,Q31.4,Q31.5,Q31.6,Q31.7,Q31.8,Q31.9,Q31.10,Q31.11,Q31.12,Q32.13,Q32.14,Q32.15,Q32.16,Q32.17,Q32.18,Q32.19,Q32.20,Q32.21,Q32.22,Q33.23,Q33.24,Q33.25,Q33.26,Q34.27,Q34.28,Q34.29,Q34.30,Q34.31,Q34.32,Q34.33,Q41.1,Q41.2,Q41.3,Q41.4,Q41.5,Q41.6,Q41.7,Q41.8,Q41.9,Q41.10,Q41.11,Q41.12,Q41.13,Q41.14,Q41.15,Q41.16,Q41.17,Q41.18,Q41.19,Q41.20,Q41.21
BIOQ-ALU-001,NA,3,3,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,3,3,2,1,1,3,3,2,2,2,2,3,2,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,1,4,2,2,2,1
BIOQ-ALU-002,NA,1,2,2,3,4,3,2,4,4,2,2,2,2,3,3,4,3,2,4,3,3,4,2,2,2,3,1,4,4,1,2,2,2,1,2,3,4,2,2,3,3,2,3,2,3,3,4,4,3,3,3,4,2,4,2,2,4,2,2,3,2,2,2,3,3,4,2,3,2,4,3,3,2,3,2,4,3,2,2,3,3,2,2,4,3,2,3,2,2,3,4,3,2,3,1,1,2,2,2,3,2,2
BIOQ-ALU-003,NA,1,1,2,2,4,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,4,2,1,1,1,2,2,2,1,1,1,1,3,2,2,4,2,2,3,3,4,4,4,4,3,4,2,4,4,4,4,4,2,2,2,1,1,1,1,1,1,4,2,1,2,3,2,4,4,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,2,1,2,2,2,2,2
BIOQ-ALU-004,NA,3,2,3,3,3,3,3,1,2,3,3,3,2,3,3,3,2,2,1,1,1,1,1,1,2,1,2,2,3,3,3,2,3,3,3,2,3,1,1,1,1,3,1,2,3,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,2,1,2,2,1,3,3,3,1,3,1,2,2,3,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1
BIOQ-ALU-005,NA,2,1,3,3,1,1,2,2,2,2,3,3,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,3,3,2,2,2,3,2,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,1,2,3,2,2,2,1,2,2,2,2,2,3,2,2,2,3,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,2,2,3,2,3,2,3,3,3
BIOQ-ALU-006,NA,2,1,2,4,2,3,2,2,2,2,3,3,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,3,3,2,1,2,2,2,3,2,2,1,1,2,2,1,3,3,3,3,3,3,3,3,2,1,1,1,4,4,4,4,4,4,2,1,2,2,2,2,1,2,2,1,2,3,3,2,3,3,1,2,3,2,3,3,3,2,2,2,2,1,2,2,2,2,2,3,2,2,3,1,2,3,2,1
BIOQ-ALU-007,NA,1,1,1,1,4,1,1,1,4,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,4,2,4,1,1,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,2,1,1
BIOQ-ALU-008,NA,1,1,1,1,4,2,1,1,4,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,4,1,1,1,1,2,2,2,4,1,4,3,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,1,1,2,2,2,1,1,1,2,2,1,3,4,4,1,1,1,2,1,2,2,1,2,1,1,2,1,1,3,1,1,2,2,4,1,2,4,1,2,1,1,3
BIOQ-ALU-009,NA,1,1,1,1,1,2,1,1,1,4,3,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,2,1,1,1,2,3,2,4,2,1,4,2,1,1,2,1,4,3,2,4,4,4,1,1,2,3,1,1,1,4,1,1,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,1,1,1,3,1,1,1,1,1,1
BIOQ-ALU-010,NA,1,1,1,2,2,3,2,4,4,3,3,3,1,3,2,3,2,1,1,4,1,2,1,2,1,2,2,1,1,2,1,3,3,2,2,3,3,2,2,2,3,4,3,4,3,2,3,3,3,3,3,2,2,3,3,3,3,4,4,4,2,2,2,2,2,2,4,3,4,2,4,4,3,2,3,1,1,2,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2
BIOQ-ALU-011,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,3,3,4,4,3,3,3,2,3,4,4,4,4,4,4,4,1,2,1,3,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,4,2,2,2,2,2,2,2
BIOQ-ALU-012,NA,1,1,1,1,3,2,2,2,3,2,2,2,2,3,2,3,3,1,2,4,4,4,4,2,1,2,2,4,4,2,2,1,1,2,1,2,2,1,2,2,3,3,3,3,3,3,1,4,3,3,3,4,4,4,4,3,3,4,4,4,1,1,2,3,2,2,4,2,1,1,1,3,4,3,1,1,3,3,1,3,3,2,1,1,1,2,2,2,3,2,2,2,2,3,2,3,2,3,2,1,2,3
BIOQ-ALU-013,NA,1,1,2,4,4,3,4,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,4,1,3,2,2,4,4,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2
BIOQ-ALU-014,NA,1,1,1,2,3,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,4,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1
BIOQ-ALU-015,NA,1,2,2,4,3,1,1,1,2,2,3,1,1,3,3,3,2,1,1,1,1,1,2,1,1,1,1,3,2,1,1,2,1,2,3,1,1,2,1,1,1,1,2,3,3,3,4,4,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-016,NA,3,2,3,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,2,1,4,2,4,2,2,2,1,2,2,1,1,4,3,4,2,2,2,3,2,4,4,2,2,2,2,4,4,4,2,2,2,4,2,2,4,2,2,1,2,4,4,2,1,2,2,2,2,3,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,4,2,2,2,2,2
BIOQ-ALU-017,4to.,1,1,2,1,4,2,1,1,1,2,2,1,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,4,4,4,4,3,3,3,1,2,3,3,3,3,2,2,3,1,1,1,3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1
BIOQ-ALU-018,4to.,1,1,2,4,4,2,4,4,4,1,1,2,2,3,1,1,1,1,1,4,1,1,4,1,1,1,1,1,2,1,4,3,1,2,1,1,1,2,2,2,1,1,3,3,3,3,4,4,3,4,4,2,2,4,4,4,4,2,4,2,1,1,1,3,2,2,1,1,2,1,2,1,4,4,1,2,1,2,2,2,2,2,2,2,2,4,2,3,2,2,2,3,2,1,1,2,1,3,3,3,3,3
BIOQ-ALU-019,4to.,1,1,4,2,4,2,1,1,1,2,2,2,1,4,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,2,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,1,1,1,3,2,1,1,2,1,1,4,1,2,3,3,1,2,3,3,3,3,2,3,3,2,1,2,2,3,3,1,2,3,1,2,2,1,2,1,2,2,3
BIOQ-ALU-020,4to.,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,3,3,4,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-021,4to.,4,1,4,4,4,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-022,4to.,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3,1,4,2,1,1,2,1,1,1,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-023,4to.,1,1,4,1,4,2,1,1,1,1,2,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,2,1,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,1,1,1,3,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,4,1,2,2,1,1,1,1,1,1,1,1,3
BIOQ-ALU-024,4to.,1,4,4,1,4,4,1,4,4,1,2,3,2,4,4,1,1,4,4,4,2,1,1,2,2,1,4,1,3,1,1,2,1,1,2,2,2,1,2,2,2,4,3,3,3,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,1,1,2,3,2,1,4,2,2,1,1,4,4,4,3,2,2,2,3,3,2,4,3,3,4,4,1,2,1,4,4,2,4,1,2,2,4,2,2,2,1,1
BIOQ-ALU-025,4to.,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,3,4,4,3,3,3,1,4,3,4,4,4,4,4,4,1,1,1,3,1,1,1,1,1,1,4,3,2,4,2,3,2,2,2,2,2,2,2,2,1,1,1,1,3,3,2,3,2,3,1,1,1,3,1,3,3,3
BIOQ-ALU-026,4to.,1,1,2,4,4,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,1,2,2,1,4,1,1,1,1,1,4,1,1,1,2,3,1,1,1,1,1,1,4,4,4,4,2,2,1,1,3,3,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3
BIOQ-ALU-027,4to.,1,1,2,1,4,2,1,1,4,1,2,3,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,3,3,2,1,3,1,2,1,1,1,2,1,1,2,4,4,4,3,4,4,4,4,4,4,2,2,2,4,4,4,2,2,2,2,1,1,2,1,2,1,2,1,1,1,4,4,4,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,2,2,3,2,1,2,1,1,1,2,2,2,1
BIOQ-ALU-028,4to.,2,2,2,1,4,2,1,1,4,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,2,4,1,2,1,2,2,2,2,4,4,4,4,4,4,4,3,3,4,1,2,4,4,4,4,1,4,4,2,1,2,4,1,1,1,2,2,1,1,4,4,4,1,2,1,1,1,2,1,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,2,2,1,1
BIOQ-ALU-029,4to.,1,2,4,4,2,2,1,1,1,2,2,1,3,2,2,2,1,4,2,2,1,2,2,2,3,2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,3,3,3,2,3,3,3,4,3,4,4,4,4,4,4,4,4,3,1,1,3,2,1,4,2,1,1,4,3,3,3,1,1,2,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,4,2,2,3,3,2
BIOQ-ALU-030,4to.,1,1,2,1,1,2,2,1,2,2,2,2,1,3,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,3,3,2,2,3,3,1,4,4,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
BIOQ-ALU-031,4to.,1,1,4,4,1,2,1,1,2,4,3,2,1,3,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,2,2,3,3,1,1,3,3,3,2,1,3,3,3,3,2,1,3,1,1,1,2,1,1,1,1,1,1,2,3,3,3,3,2,2,2,1,1,1,1,1,1,1,2,1,1,3,3,1,1,2,2,2,1,1,1,1,2,2,2
BIOQ-ALU-032,4to.,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,3,4,1,1,4,4,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-033,4to.,1,1,2,1,4,4,1,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,2,4,2,2,1,1,1,1,1,1,2,1,1,3,4,3,4,4,4,2,4,4,1,4,1,2,1,1,1,4,4,1,1,1,2,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,2,2,1,3,1,1,1,2,4,1,2,3,2,1,1,1,1,1,1,1,1,1
BIOQ-ALU-034,4to.,2,2,1,1,4,2,1,1,4,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,1,2,4,1,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,4,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,4,1,4,4,4,4
BIOQ-ALU-035,4to.,1,1,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,3,4,1,1,4,4,4,4,4,4,4,1,1,1,3,1,1,1,2,1,1,4,1,4,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-036,4to.,1,1,2,1,1,3,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,3,2,2,1,4,3,4,4,4,4,4,4,4,4,4,4,2,1,1,3,1,1,1,1,1,1,2,2,1,4,3,1,2,2,1,2,1,1,3,2,2,2,1,1,4,2,1,2,2,1,2,2,1,1,1,2,2,1
BIOQ-ALU-037,4to.,1,1,2,1,2,4,2,2,4,4,1,2,1,2,1,1,2,1,3,4,1,1,2,1,3,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,3,2,1,4,1,4,4,4,2,4,2,1,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2
BIOQ-ALU-038,4to.,1,1,1,4,4,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,3,1,1,2,2,1,2,2,1,1,3,4,4,2,3,3,4,1,1,1,2,4,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,3,2,1,2,2,1,1,2,1,1,1,2,2,1
BIOQ-ALU-039,4to.,1,1,1,4,4,1,1,1,1,2,1,2,1,3,1,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,1,2,3,2,3,2,1,2,2,1,1,2,2,2,3,2,4,2,3,3,1,1,1,1,2,4,1,4,4,4,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,3,2
BIOQ-ALU-040,4to.,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,4,4,4,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
BIOQ-ALU-041,4to.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,4,4,4,1,2,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1
BIOQ-ALU-042,4to.,1,1,4,1,4,4,1,1,4,1,2,2,1,3,1,2,1,2,4,4,1,2,1,1,4,1,1,1,1,1,4,1,1,2,1,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,4,2,2,2,4,2,2,1,2,2,4,2,1,1,1,1,1,1,1,2,1,2,2,1,2,4,1,1,2,2,1,1,2,1,1,1,1,1,2
BIOQ-ALU-043,4to.,2,1,2,1,4,4,2,3,2,2,3,2,2,3,3,3,2,4,3,4,4,4,4,2,3,3,2,3,2,2,3,4,4,2,2,1,2,2,2,3,4,4,3,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,2,2,1,3,4,4,3,3,2,1,1,4,4,4,3,2,3,2,3,3,2,3,2,3,3,2,2,2,3,3,4,3,3,1,2,3,4,4,4,4,3,4
BIOQ-ALU-044,4to.,1,1,4,1,4,1,1,1,4,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,1,1,1,1,1,2,1,1,2,2,2,4,4,3,4,4,4,3,3,4,1,4,4,4,4,4,4,4,4,1,1,1,4,1,1,1,4,1,1,1,3,1,4,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2
BIOQ-ALU-045,4to.,1,1,2,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,2,2,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,2,2,2
BIOQ-ALU-046,4to.,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,4,4,4,1,2,1,1,1,1,4,4,1,4,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1
BIOQ-ALU-047,NA,1,2,1,4,4,1,1,4,2,4,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,3,3,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,4,3,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,2,3,2,2
BIOQ-ALU-048,NA,2,1,2,1,4,4,2,1,1,4,3,2,2,3,2,1,1,2,1,2,4,2,2,1,2,2,1,3,3,2,2,1,1,2,1,2,1,2,2,2,3,4,2,3,3,4,4,4,2,1,4,4,4,2,4,4,4,4,4,4,2,1,1,3,2,2,4,2,2,1,4,4,4,4,1,1,1,1,1,1,1,3,3,3,3,3,3,1,4,4,1,3,2,1,1,2,1,1,2,4,1,4
BIOQ-ALU-049,NA,1,4,1,1,4,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,2,2,1,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,1,1,2,2,1,2,2,1,2,4,1,4,1,1,1,1,2,1,1,2,4,4,4,2,1,1,1,4,2,2,3,1,2,3,1,1,2,2,3,2
